Influential 2-amod
members 10-nsubj
of 2-prep
the 9-det
House 9-nmod
Ways 9-nmod
and 6-cc
Means 6-conj
Committee 3-pobj
introduced 0-ROOT
legislation 10-dobj
that 14-nsubj
would 14-aux
restrict 11-relcl
how 26-advmod
the 24-det
new 24-amod
savings 23-nmod
- 18-punct
and 18-cc
- 22-punct
loan 18-conj
bailout 24-compound
agency 26-nsubj
can 26-aux
raise 14-ccomp
capital 26-dobj
, 26-punct
creating 26-advcl
another 32-det
potential 32-amod
obstacle 29-dobj
to 29-prep
the 35-det
government 37-poss
's 35-case
sale 33-pobj
of 37-prep
sick 40-amod
thrifts 38-pobj
. 10-punct

 41-dep

The 2-det
bill 17-nsubj
, 2-punct
whose 5-poss
backers 6-nsubj
include 2-relcl
Chairman 11-compound
Dan 11-compound
Rostenkowski 11-compound
-LRB- 11-punct
D. 6-dobj
, 11-punct
Ill. 2-punct
-RRB- 2-appos
, 17-punct
would 17-aux
prevent 0-ROOT
the 21-det
Resolution 21-compound
Trust 21-compound
Corp. 17-dobj
from 17-prep
raising 22-pcomp
temporary 26-amod
working 26-amod
capital 23-dobj
by 23-prep
having 27-pcomp
an 37-det
RTC 32-npadvmod
- 32-punct
owned 37-amod
bank 36-nmod
or 33-cc
thrift 33-conj
issue 37-compound
debt 28-dobj
that 42-nsubjpass
would 42-aux
n't 42-neg
be 42-auxpass
counted 37-relcl
on 42-prep
the 46-det
federal 46-amod
budget 43-pobj
. 17-punct

 47-dep

The 2-det
bill 3-nsubj
intends 0-ROOT
to 5-aux
restrict 3-xcomp
the 7-det
RTC 5-dobj
to 5-prep
Treasury 10-compound
borrowings 8-pobj
only 5-advmod
, 3-punct
unless 16-mark
the 15-det
agency 16-nsubj
receives 3-advcl
specific 19-amod
congressional 19-amod
authorization 16-dobj
. 3-punct

 20-dep

` 25-punct
` 11-punct
Such 4-amod
agency 10-nmod
` 10-punct
self 8-compound
- 8-punct
help 10-nmod
' 8-punct
borrowing 11-nsubj
is 25-ccomp
unauthorized 11-acomp
and 12-cc
expensive 12-conj
, 12-punct
far 17-advmod
more 18-advmod
expensive 12-conj
than 18-prep
direct 22-amod
Treasury 22-compound
borrowing 19-pobj
, 25-punct
'' 25-punct
said 0-ROOT
Rep. 30-compound
Fortney 30-compound
Stark 30-compound
-LRB- 30-punct
D. 25-nsubj
, 30-punct
Calif. 30-npadvmod
-RRB- 25-nsubj
, 33-punct
the 36-det
bill 39-poss
's 36-case
chief 39-amod
sponsor 33-appos
. 25-punct

 40-dep

The 4-det
complex 4-amod
financing 4-compound
plan 10-nsubj
in 4-prep
the 9-det
S&L 8-compound
bailout 9-compound
law 5-pobj
includes 0-ROOT
raising 10-xcomp
$ 14-quantmod
30 14-compound
billion 11-dobj
from 11-prep
debt 15-pobj
issued 16-acl
by 17-agent
the 22-det
newly 21-advmod
created 22-amod
RTC 18-pobj
. 10-punct

 23-dep

This 3-det
financing 3-compound
system 5-nsubjpass
was 5-auxpass
created 0-ROOT
in 5-prep
the 9-det
new 9-amod
law 6-pobj
in 5-prep
order 10-pobj
to 13-aux
keep 11-acl
the 15-det
bailout 16-compound
spending 13-dobj
from 16-prep
swelling 17-pcomp
the 21-det
budget 21-compound
deficit 18-dobj
. 5-punct

 22-dep

Another 4-det
$ 4-quantmod
20 4-compound
billion 7-nsubjpass
would 7-aux
be 7-auxpass
raised 0-ROOT
through 7-prep
Treasury 10-compound
bonds 8-pobj
, 10-punct
which 13-nsubj
pay 10-relcl
lower 16-amod
interest 16-compound
rates 13-dobj
. 7-punct

 17-dep

But 5-cc
the 3-det
RTC 5-nsubj
also 5-advmod
requires 0-ROOT
` 10-punct
` 10-punct
working 10-nmod
'' 10-punct
capital 5-dobj
to 12-aux
maintain 5-xcomp
the 15-det
bad 15-amod
assets 12-dobj
of 15-prep
thrifts 16-pobj
that 20-nsubjpass
are 20-auxpass
sold 15-relcl
, 5-punct
until 27-mark
the 24-det
assets 27-nsubjpass
can 27-aux
be 27-auxpass
sold 5-advcl
separately 27-advmod
. 5-punct

 29-dep

That 2-det
debt 5-nsubjpass
would 5-aux
be 5-auxpass
paid 0-ROOT
off 5-prt
as 11-mark
the 9-det
assets 11-nsubjpass
are 11-auxpass
sold 5-advcl
, 5-punct
leaving 5-advcl
the 16-det
total 16-amod
spending 13-dobj
for 16-prep
the 19-det
bailout 17-pobj
at 13-prep
$ 23-quantmod
50 23-compound
billion 20-pobj
, 23-punct
or 23-cc
$ 28-quantmod
166 28-compound
billion 23-conj
including 28-prep
interest 29-pobj
over 30-prep
10 33-nummod
years 31-pobj
. 5-punct

 34-dep

` 4-punct
` 4-punct
It 4-nsubj
's 15-ccomp
a 6-det
problem 4-attr
that 9-nsubj
clearly 9-advmod
has 6-relcl
to 12-aux
be 12-auxpass
resolved 9-xcomp
, 15-punct
'' 15-punct
said 0-ROOT
David 17-compound
Cooke 15-nsubj
, 17-punct
executive 20-amod
director 17-appos
of 20-prep
the 23-det
RTC 21-pobj
. 15-punct

 24-dep

The 2-det
agency 5-nsubj
has 5-aux
already 5-advmod
spent 0-ROOT
roughly 9-advmod
$ 9-quantmod
19 9-compound
billion 5-dobj
selling 9-acl
34 13-nummod
insolvent 13-amod
S&Ls 10-dobj
, 5-punct
and 5-cc
it 17-nsubj
is 5-conj
likely 17-acomp
to 20-aux
sell 18-xcomp
or 20-cc
merge 20-conj
600 22-dobj
by 22-prep
the 26-det
time 24-pobj
the 28-det
bailout 29-nsubj
concludes 26-relcl
. 17-punct

 30-dep

Absent 13-advcl
other 4-amod
working 4-amod
capital 1-dobj
, 7-punct
he 7-nsubj
said 13-parataxis
, 7-punct
the 10-det
RTC 13-nsubjpass
would 13-aux
be 13-auxpass
forced 0-ROOT
to 15-aux
delay 13-xcomp
other 18-amod
thrift 18-compound
resolutions 15-dobj
until 23-mark
cash 23-nsubjpass
could 23-aux
be 23-auxpass
raised 15-advcl
by 23-prep
selling 24-pcomp
the 28-det
bad 28-amod
assets 25-dobj
. 13-punct

 29-dep

` 5-punct
` 5-punct
We 5-nsubj
would 5-aux
have 23-ccomp
to 7-aux
wait 5-xcomp
until 11-mark
we 11-nsubj
have 11-aux
collected 7-advcl
on 11-prep
those 14-det
assets 12-pobj
before 18-mark
we 18-nsubj
can 18-aux
move 11-advcl
forward 18-advmod
, 23-punct
'' 23-punct
he 23-nsubj
said 0-ROOT
. 23-punct

 24-dep

The 3-det
complicated 3-amod
language 10-nsubj
in 3-prep
the 8-det
huge 8-amod
new 8-amod
law 4-pobj
has 10-aux
muddied 0-ROOT
the 12-det
fight 10-dobj
. 10-punct

 13-dep

The 2-det
law 4-nsubj
does 4-aux
allow 0-ROOT
the 6-det
RTC 8-nsubj
to 8-aux
borrow 4-ccomp
from 8-prep
the 11-det
Treasury 9-pobj
up 16-quantmod
to 16-quantmod
$ 16-quantmod
5 16-compound
billion 9-pobj
at 8-prep
any 19-det
time 17-pobj
. 4-punct

 20-dep

Moreover 4-advmod
, 4-punct
it 4-nsubj
says 0-ROOT
the 6-det
RTC 9-poss
's 6-case
total 9-amod
obligations 12-nsubj
may 12-aux
not 12-neg
exceed 4-ccomp
$ 15-quantmod
50 15-compound
billion 12-dobj
, 12-punct
but 12-cc
that 19-det
figure 21-nsubjpass
is 21-auxpass
derived 12-conj
after 21-prep
including 22-pcomp
notes 23-pobj
and 24-cc
other 27-amod
debt 24-conj
, 21-punct
and 21-cc
subtracting 21-conj
from 30-prep
it 31-pobj
the 35-det
market 35-compound
value 30-dobj
of 35-prep
the 38-det
assets 36-pobj
the 40-det
RTC 41-nsubj
holds 38-relcl
. 4-punct

 42-dep

But 5-cc
Congress 5-nsubj
did 5-aux
n't 5-neg
anticipate 12-ccomp
or 5-cc
intend 5-conj
more 10-amod
public 10-amod
debt 7-dobj
, 12-punct
say 0-ROOT
opponents 12-nsubj
of 13-prep
the 16-det
RTC 21-poss
's 16-case
working 20-amod
- 20-punct
capital 21-compound
plan 14-pobj
, 12-punct
and 12-cc
Rep. 26-compound
Charles 26-compound
Schumer 12-conj
-LRB- 28-compound
D. 26-appos
, 28-punct
N.Y 28-npadvmod
. 12-punct

-RRB- 2-nsubj
said 0-ROOT
the 6-det
RTC 6-compound
Oversight 6-compound
Board 8-nsubj
has 8-aux
been 2-ccomp
remiss 8-acomp
in 9-prep
not 12-neg
keeping 10-pcomp
Congress 14-nsubj
informed 12-ccomp
. 2-punct

 15-dep

` 5-punct
` 5-punct
That 4-det
secrecy 5-nsubj
leads 27-ccomp
to 5-prep
a 8-det
proposal 6-pobj
like 8-prep
the 11-det
one 9-pobj
from 11-prep
Ways 12-pobj
and 13-cc
Means 13-conj
, 13-punct
which 18-nsubj
seems 13-relcl
to 18-prep
me 19-pobj
sort 22-advmod
of 23-advmod
draconian 18-oprd
, 27-punct
'' 27-punct
he 27-nsubj
said 0-ROOT
. 27-punct

 28-dep

` 6-punct
` 6-punct
The 4-det
RTC 6-nsubj
is 6-aux
going 0-ROOT
to 8-aux
have 6-xcomp
to 10-aux
pay 8-xcomp
a 12-det
price 10-dobj
of 12-prep
prior 15-amod
consultation 13-pobj
on 15-prep
the 18-det
Hill 16-pobj
if 21-mark
they 21-nsubj
want 6-advcl
that 23-det
kind 21-dobj
of 23-prep
flexibility 24-pobj
. 6-punct
'' 6-punct

 27-dep

The 5-det
Ways 5-nmod
and 2-cc
Means 2-conj
Committee 7-nsubj
will 7-aux
hold 0-ROOT
a 9-det
hearing 7-dobj
on 9-prep
the 12-det
bill 10-pobj
next 14-nmod
Tuesday 7-npadvmod
. 7-punct

 15-dep

We 2-nsubj
're 0-ROOT
about 2-acomp
to 5-aux
see 3-xcomp
if 8-mark
advertising 8-nsubj
works 5-ccomp
. 2-punct

 9-dep

Hard 28-advmod
on 1-prep
the 4-det
heels 2-pobj
of 4-prep
Friday 14-poss
's 6-case
190 10-nummod
- 10-punct
point 14-compound
stock 13-compound
- 13-punct
market 14-compound
plunge 5-pobj
and 4-cc
the 17-det
uncertainty 2-pobj
that 20-nsubjpass
's 20-auxpass
followed 17-relcl
, 28-punct
a 23-quantmod
few 26-amod
big 26-amod
brokerage 26-compound
firms 28-nsubj
are 28-aux
rolling 37-ccomp
out 28-prt
new 31-amod
ads 28-dobj
trumpeting 31-acl
a 35-det
familiar 35-amod
message 32-dobj
: 37-punct
Keep 43-advcl
on 37-prep
investing 38-pobj
, 43-punct
the 42-det
market 43-nsubj
's 0-ROOT
just 45-advmod
fine 43-acomp
. 43-punct

 46-dep

Their 2-poss
mission 3-nsubj
is 0-ROOT
to 5-aux
keep 3-xcomp
clients 5-dobj
from 5-prep
fleeing 7-pcomp
the 10-det
market 8-dobj
, 5-punct
as 15-mark
individual 14-amod
investors 15-nsubj
did 5-advcl
in 15-prep
droves 16-pobj
after 15-prep
the 20-det
crash 18-pobj
in 20-prep
October 21-pobj

 22-dep
Just 25-advmod
days 26-npadvmod
after 34-prep
the 29-det
1987 29-nummod
crash 26-pobj
, 34-punct
major 33-amod
brokerage 33-compound
firms 34-nsubj
rushed 5-advcl
out 34-prt
ads 34-dobj
to 38-aux
calm 34-advcl
investors 38-dobj
. 3-punct

 40-dep

This 2-det
time 7-npadvmod
around 2-advmod
, 7-punct
they 7-nsubj
're 7-aux
moving 0-ROOT
even 9-advmod
faster 7-advmod
. 7-punct

 10-dep

PaineWebber 2-compound
Inc. 3-nsubj
filmed 0-ROOT
a 7-det
new 7-amod
television 7-compound
commercial 3-dobj
at 3-prep
4 10-nummod
p.m. 11-advmod
EDT 8-pobj
yesterday 3-npadvmod
and 3-cc
had 3-conj
it 14-dobj
on 14-prep
the 18-det
air 16-pobj
by 14-prep
last 21-amod
night 19-pobj
. 3-punct

 22-dep

Fidelity 2-compound
Investments 3-nsubj
placed 0-ROOT
new 5-amod
ads 3-dobj
in 3-prep
newspapers 6-pobj
yesterday 3-npadvmod
, 3-punct
and 3-cc
wrote 3-conj
another 14-det
new 14-amod
ad 11-dobj
appearing 14-acl
today 15-npadvmod
. 3-punct

 17-dep

Shearson 4-compound
Lehman 4-compound
Hutton 4-compound
Inc. 10-nsubj
by 10-prep
yesterday 7-compound
afternoon 5-pobj
had 10-aux
already 10-advmod
written 0-ROOT
new 13-amod
TV 13-compound
ads 10-dobj
. 10-punct

 14-dep

It 2-nsubj
considered 0-ROOT
running 2-xcomp
them 3-dobj
during 3-prep
tomorrow 7-compound
night 11-poss
's 7-case
World 10-compound
Series 11-compound
broadcast 5-pobj
but 2-cc
decided 2-conj
not 15-neg
to 13-xcomp
when 19-advmod
the 18-det
market 19-nsubj
recovered 15-advcl
yesterday 19-npadvmod
. 2-punct

 21-dep

Other 3-amod
brokerage 3-compound
firms 12-nsubj
, 3-punct
including 3-prep
Merrill 7-compound
Lynch 5-pobj
& 7-cc
Co. 7-conj
, 12-punct
were 12-aux
plotting 0-ROOT
out 12-prt
potential 17-amod
new 17-amod
ad 17-compound
strategies 12-dobj
. 12-punct

 18-dep

The 3-det
brokerage 3-compound
firms 4-nsubj
learned 0-ROOT
a 6-det
lesson 4-dobj
the 9-det
last 9-amod
time 4-npadvmod
around 9-advmod
, 4-punct
when 15-advmod
frightened 14-amod
investors 15-nsubj
flooded 4-advcl
the 18-det
phone 18-compound
lines 15-dobj
and 15-cc
fled 15-conj
the 22-det
market 20-dobj
in 20-prep
a 25-det
panic 23-pobj
. 4-punct

 26-dep

This 2-det
time 6-npadvmod
, 6-punct
the 5-det
firms 6-nsubj
were 0-ROOT
ready 6-acomp
. 6-punct

 8-dep

Fidelity 0-ROOT
, 7-punct
for 7-prep
example 3-pobj
, 7-punct
prepared 7-amod
ads 1-appos
several 9-amod
months 10-npadvmod
ago 7-advmod
in 1-prep
case 11-pobj
of 12-prep
a 16-det
market 16-compound
plunge 13-pobj
. 1-punct

 17-dep

When 4-advmod
the 3-det
market 4-nsubj
went 15-advcl
into 4-prep
its 8-poss
free 8-amod
fall 5-pobj
Friday 10-compound
afternoon 4-npadvmod
, 15-punct
the 14-det
investment 14-compound
firm 15-nsubj
ordered 0-ROOT
full 17-amod
pages 15-dobj
in 15-prep
the 21-det
Monday 21-compound
editions 18-pobj
of 21-prep
half 25-quantmod
a 25-quantmod
dozen 26-nummod
newspapers 22-pobj
. 15-punct

 27-dep

The 2-det
ads 3-nsubj
touted 0-ROOT
Fidelity 9-poss
's 4-case
automated 9-amod
800 9-nummod
- 9-punct
number 3-dobj
beneath 3-prep
the 13-det
huge 13-amod
headline 10-pobj
, 3-punct
` 3-punct
` 3-punct
Fidelity 18-nsubj
Is 3-ccomp
Ready 18-acomp
For 18-prep
Your 22-poss
Call 20-pobj
. 3-punct
'' 3-punct

 24-dep

A 3-det
Fidelity 3-compound
spokesman 4-nsubj
says 0-ROOT
the 8-det
800 8-nummod
- 8-punct
line 23-nsubj
, 8-punct
which 13-nsubj
already 13-advmod
was 13-aux
operating 8-relcl
but 13-cc
which 21-pobj
many 17-amod
clients 20-nsubj
did 20-aux
n't 20-neg
know 13-conj
about 20-prep
, 23-punct
received 4-ccomp
about 25-quantmod
double 28-nummod
the 28-det
usual 28-amod
volume 23-dobj
of 28-prep
calls 29-pobj
over 30-prep
the 33-det
weekend 31-pobj
. 4-punct

 34-dep

` 8-punct
` 8-punct
A 4-det
lot 8-nsubj
of 4-prep
investor 7-compound
confidence 5-pobj
comes 21-ccomp
from 8-prep
the 11-det
fact 9-pobj
that 15-mark
they 15-nsubj
can 15-aux
speak 11-acl
to 15-prep
us 16-pobj
, 21-punct
'' 21-punct
he 21-nsubj
says 0-ROOT
. 21-punct

 22-dep

` 4-punct
` 4-punct
To 4-aux
maintain 0-ROOT
that 7-mark
dialogue 7-nsubj
is 4-ccomp
absolutely 9-advmod
crucial 7-acomp
. 4-punct

 10-dep

It 4-nsubj
would 4-aux
have 4-aux
been 0-ROOT
too 6-advmod
late 4-acomp
to 8-aux
think 6-xcomp
about 8-prep
on 8-prep
Friday 10-pobj
. 4-punct

 12-dep

We 2-nsubj
had 0-ROOT
to 4-aux
think 2-xcomp
about 4-prep
it 5-pobj
ahead 4-advmod
of 7-prep
time 8-pobj
. 2-punct

'' 0-ROOT

 1-dep

Today 4-poss
's 1-case
Fidelity 4-compound
ad 5-nsubj
goes 0-ROOT
a 7-det
step 8-npadvmod
further 5-advmod
, 5-punct
encouraging 5-advcl
investors 10-dobj
to 13-aux
stay 10-xcomp
in 13-prep
the 16-det
market 14-pobj
or 13-cc
even 20-advmod
to 20-aux
plunge 13-conj
in 20-prt
with 20-prep
Fidelity 22-pobj
. 5-punct

 24-dep

Underneath 10-prep
the 3-det
headline 1-pobj
` 3-punct
` 6-punct
Diversification 3-appos
, 10-punct
'' 10-punct
it 10-nsubj
counsels 0-ROOT
, 10-punct
` 10-punct
` 10-punct
Based 25-prep
on 14-prep
the 17-det
events 15-pobj
of 17-prep
the 21-det
past 21-amod
week 18-pobj
, 25-punct
all 24-det
investors 25-nsubj
need 10-ccomp
to 27-aux
know 25-xcomp
their 29-poss
portfolios 27-dobj
are 25-ccomp
balanced 30-acomp
to 33-aux
help 31-xcomp
protect 33-xcomp
them 34-dobj
against 34-prep
the 38-det
market 40-poss
's 38-case
volatility 36-pobj
. 10-punct
'' 10-punct

 42-dep

It 2-nsubj
goes 0-ROOT
on 2-prt
to 5-aux
plug 2-advcl
a 7-quantmod
few 10-nummod
diversified 10-amod
Fidelity 10-compound
funds 5-dobj
by 5-prep
name 11-pobj
. 2-punct

 13-dep

PaineWebber 3-nsubj
also 3-advmod
was 0-ROOT
able 3-acomp
to 6-aux
gear 4-xcomp
up 6-prt
quickly 6-advmod
thanks 6-npadvmod
to 6-prep
the 13-det
1987 13-nummod
crash 10-pobj
. 3-punct

 14-dep

In 12-prep
the 3-det
aftermath 1-pobj
of 3-prep
the 7-det
1987 7-nummod
debacle 4-pobj
, 12-punct
the 11-det
brokerage 11-compound
firm 12-nsubj
began 0-ROOT
taping 12-xcomp
commercials 13-dobj
in 14-prep
- 15-punct
house 15-pobj
, 12-punct
ultimately 20-advmod
getting 12-advcl
its 22-poss
timing 20-dobj
down 22-prt
fast 25-advmod
enough 22-advmod
to 27-aux
tape 20-advcl
a 29-det
commercial 27-dobj
after 33-mark
the 32-det
market 33-nsubj
closed 27-advcl
and 27-cc
rush 27-conj
it 35-dobj
on 35-prep
the 39-det
air 37-pobj
that 41-det
night 35-npadvmod
. 12-punct

 42-dep

It 3-nsubj
